action_0,action_1,done,episode_id,layout_name,reward,role_swap,shaped_r_by_agent,sparse_r_by_agent,timestep
↓,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",61
→,↓,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",62
→,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",63
↓,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",64
interact,stay,False,0,latam_room,30.0,False,"[0, 0]","[30, 0]",65
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",66
↑,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",67
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",68
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",69
↑,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",70
interact,stay,False,0,latam_room,0.0,False,"[3, 0]","[0, 0]",71
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",72
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",73
